name	symbol_id	start_number
Middle Ring Baby on Angle In	01-09-007-01	0x1d300
Middle Ring Baby on Angle	01-09-008-01	0x1d400
Middle Ring Baby Bent	01-09-009-01	0x1d500
Middle Ring Baby Unit on Claw	01-09-010-01	0x1d600
Middle Ring Baby Unit on Claw Side	01-09-011-01	0x1d700
Middle Ring Baby Unit on Hook Out	01-09-012-01	0x1d800
Middle Ring Baby Unit on Hook In	01-09-013-01	0x1d900
Middle Ring Baby Unit on Hook	01-09-014-01	0x1da00
Index Hinge	01-09-015-01	0x1db00
Index Thumb Side	01-09-016-01	0x1dc00
Index Thumb Side on Hinge	01-09-017-01	0x1dd00
Index Thumb Side, Thumb Diagonal	01-09-018-01	0x1de00
Index Thumb Side, Thumb Unit	01-09-019-01	0x1df00
Index Thumb Side, Thumb Bent	01-09-020-01	0x1e000
Index Thumb Side, Index Bent	01-09-021-01	0x1e100
Index Thumb Side, Both Bent	01-09-022-01	0x1e200
Index Thumb Side, Index Hinge	01-09-023-01	0x1e300
Index Thumb Forward, Index Straight	01-09-024-01	0x1e400
Index Thumb Forward, Index Bent	01-09-025-01	0x1e500
Index Thumb Hook	01-09-026-01	0x1e600
Index Thumb Curlicue	01-09-027-01	0x1e700
Index Thumb Curve, Thumb Inside	01-09-028-01	0x1e800
Index Thumb Curve, Thumb Inside on Claw	01-09-029-01	0x1e900
Index Thumb Curve, Thumb Under	01-09-030-01	0x1ea00
Index Thumb Circle	01-09-031-01	0x1eb00
Index Thumb Cup	01-09-032-01	0x1ec00
Index Thumb Cup Open	01-09-033-01	0x1ed00
Index Thumb Hinge Open	01-09-034-01	0x1ee00
Index Thumb Hinge Large	01-09-035-01	0x1ef00
Index Thumb Hinge	01-09-036-01	0x1f000
Index Thumb Hinge Small	01-09-037-01	0x1f100
Index Thumb Angle Out	01-09-038-01	0x1f200
Index Thumb Angle In	01-09-039-01	0x1f300
Index Thumb Angle	01-09-040-01	0x1f400
Thumb	01-10-001-01	0x1f500
Thumb Heel	01-10-002-01	0x1f600
Thumb Side Diagonal	01-10-003-01	0x1f700
Thumb Side Unit	01-10-004-01	0x1f800
Thumb Side Bent	01-10-005-01	0x1f900
Thumb Forward	01-10-006-01	0x1fa00
Thumb Between Index Middle	01-10-007-01	0x1fb00
Thumb Between Middle Ring	01-10-008-01	0x1fc00
Thumb Between Ring Baby	01-10-009-01	0x1fd00
Thumb Under Two Fingers	01-10-010-01	0x1fe00
Thumb Over Two Fingers	01-10-011-01	0x1ff00
Thumb Under Three Fingers	01-10-012-01	0x20000
Thumb Under Four Fingers	01-10-013-01	0x20100
Thumb Over Four Raised Knuckles	01-10-014-01	0x20200
Fist	01-10-015-01	0x20300
Fist Heel	01-10-016-01	0x20400
Touch Single	02-01-001-01	0x20500
Touch Multiple	02-01-002-01	0x20600
Touch Between	02-01-003-01	0x20700
Grasp Single	02-01-004-01	0x20800
Grasp Multiple	02-01-005-01	0x20900
Grasp Between	02-01-006-01	0x20a00
Strike Single	02-01-007-01	0x20b00
Strike Multiple	02-01-008-01	0x20c00
Strike Between	02-01-009-01	0x20d00
Brush Single	02-01-010-01	0x20e00
Brush Multiple	02-01-011-01	0x20f00
Brush Between	02-01-012-01	0x21000
Rub Single	02-01-013-01	0x21100
Rub Multiple	02-01-014-01	0x21200
Rub Between	02-01-015-01	0x21300
Surface Symbols	02-01-016-01	0x21400
Surface Between	02-01-017-01	0x21500
Squeeze Large Single	02-02-001-01	0x21600
Squeeze Small Single	02-02-001-02	0x21700
Squeeze Large Multiple	02-02-002-01	0x21800
Squeeze Small Multiple	02-02-002-02	0x21900
Squeeze Sequential	02-02-003-01	0x21a00
Flick Large Single	02-02-004-01	0x21b00
Flick Small Single	02-02-004-02	0x21c00
Flick Large Multiple	02-02-005-01	0x21d00
Flick Small Multiple	02-02-005-02	0x21e00
Flick Sequential	02-02-006-01	0x21f00
Squeeze Flick Alternating	02-02-007-01	0x22000
Hinge Movement, Up Down Large	02-02-008-01	0x22100
Hinge Movement, Up Down Small	02-02-008-02	0x22200
Hinge Movement, Up Sequential	02-02-009-01	0x22300
Hinge Movement, Down Sequential	02-02-009-02	0x22400
Hinge Movement, Up Down Alternating Large	02-02-010-01	0x22500
Hinge Movement, Up Down Alternating Small	02-02-010-02	0x22600
Hinge Movement, Side to Side Scissors	02-02-011-01	0x22700
Finger Contact Movement, Wall Plane	02-02-012-01	0x22800
Finger Contact Movement, Floor Plane	02-02-013-01	0x22900
Single Straight Movement, Wall Plane Small	02-03-001-01	0x22a00
Single Straight Movement, Wall Plane Medium	02-03-001-02	0x22b00
Single Straight Movement, Wall Plane Large	02-03-001-03	0x22c00
Single Straight Movement, Wall Plane Largest	02-03-001-04	0x22d00
Single Wrist Flex, Wall Plane	02-03-001-05	0x22e00
Double Straight Movement, Wall Plane	02-03-002-01	0x22f00
Double Wrist Flex, Wall Plane	02-03-002-02	0x23000
Double Alternating Movement, Wall Plane	02-03-003-01	0x23100
Double Alternating Wrist Flex, Wall Plane	02-03-003-02	0x23200
Cross Movement, Wall Plane	02-03-004-01	0x23300
Triple Straight Movement, Wall Plane	02-03-005-01	0x23400
Triple Wrist Flex, Wall Plane	02-03-005-02	0x23500
Triple Alternating Movement, Wall Plane	02-03-006-01	0x23600
Triple Alternating Wrist Flex, Wall Plane	02-03-006-02	0x23700
Bend, Wall Plane Small	02-03-007-01	0x23800
Bend, Wall Plane Medium	02-03-007-02	0x23900
Bend, Wall Plane Large	02-03-007-03	0x23a00
Corner, Wall Plane Small	02-03-008-01	0x23b00
Corner, Wall Plane Medium	02-03-008-02	0x23c00
Corner, Wall Plane Large	02-03-008-03	0x23d00
Corner, Wall Plane with Rotation	02-03-008-04	0x23e00
Check, Wall Plane Small	02-03-009-01	0x23f00
Check, Wall Plane Medium	02-03-009-02	0x24000
Check, Wall Plane Large	02-03-009-03	0x24100
Box, Wall Plane Small	02-03-010-01	0x24200
Box, Wall Plane Medium	02-03-010-02	0x24300
Box, Wall Plane Large	02-03-010-03	0x24400
Zigzag, Wall Plane Small	02-03-011-01	0x24500
Zigzag, Wall Plane Medium	02-03-011-02	0x24600
Zigzag, Wall Plane Large	02-03-011-03	0x24700
Peaks, Wall Plane Small	02-03-012-01	0x24800
Peaks, Wall Plane Medium	02-03-012-02	0x24900
Peaks, Wall Plane Large	02-03-012-03	0x24a00
Travel Rotation, Single Wall Plane	02-03-013-01	0x24b00
Travel Rotation, Double Wall Plane	02-03-014-01	0x24c00
Travel Rotation, Alternating Wall Plane	02-03-015-01	0x24d00
Travel Rotation, Single Floor Plane	02-03-016-01	0x24e00
Travel Rotation, Double Floor Plane	02-03-017-01	0x24f00
Travel Rotation, Alternating Floor Plane	02-03-018-01	0x25000
Travel Shaking, Wall Plane	02-03-019-01	0x25100
Travel Arm Spiral, Wall Plane Single	02-03-020-01	0x25200
